trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.75}",20,0,-99.82348783602586,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.6388888888888888}",30,0,-121.90628542423073,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.5763888888888888}",20,0,-30.182349690364983,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.5363888888888888}",20,0,-114.41320771726897,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.508611111111111}",20,6,13.406888125683725,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.48820294784580487}",20,9,-37.978343396948006,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.47257794784580487}",20,10,-75.04171293900352,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.4602322688334592}",25,6,2.8509326219293514,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.4502322688334592}",20,12,14.928285590240176,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4419678060235418}",20,7,-7.2463545850887074,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4350233615790974}",20,3,3.510113871608964,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.4291062018157838}",25,11,-75.15951905988996,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.42400416099945726}",30,0,4.910198362245929,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.41955971655501284}",25,0,-96.90017751926209,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.41565346655501284}",20,9,-26.198788949465243,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.4121932589425561}",20,0,-8.186006034807267,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.40910683918946966}",35,21,-41.19959686974368,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.4063367560869766}",25,3,-27.123260863559114,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.4038367560869766}",30,0,-39.1767904903369,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.4015691823908315}",25,0,18.66144406662676,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.39950306668835217}",35,17,-19.458907018293626,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.3976127075201102}",25,15,9.336049867003032,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.3958765964089991}",20,0,6.132174051584787,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.3942765964089991}",20,11,-6.311761511129076,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.3927973064681707}",20,0,-57.717624685790085,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.3914255643556878}",20,7,4.930260765096894,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.3901500541516062}",20,12,1.9376941726893664,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.38896099350951346}",30,13,-2.59306068599024,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.38784988239840235}",25,8,-20.01131158209344,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.3868092996720756}",20,8,-11.37605433171539,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.3858327371720756}",25,13,-54.7855769501306,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.38491446352652925}",20,16,9.155480091822518,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.38404941162341505}",20,6,-1.3631346661160366,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.3832330850928028}",20,0,1.5715730919478283,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.3824614801545312}",30,12,-23.177027592064032,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.38173101996461156}",25,0,-23.91281351332087,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.3810384991889883}",25,0,10.334709560865809,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.3803810369930646}",20,2,6.4276684388038925,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.3797560369930646}",30,2,-36.426362530025614,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.3791611529954441}",25,3,-33.2948952747561,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.37859425957140785}",20,0,3.997162611640161,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.37805342668876857}",20,1,-6.212400633730942,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.37753689776314875}",20,13,-39.80950964087966,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.3770430706026549}",30,22,19.047407174477435,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.3765704808105944}",20,0,26.560303569551145,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.3761177872841118}",25,0,9.108876873099108,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.37568375950633404}",20,3,18.935041170281444,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.37526726637847063}",20,5,-35.57307681949258,"{0: 10, 1: 3, 2: 0, 3: 2, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.3748672663784706}",20,4,-9.704849808115625,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.3744827988659754}",25,11,-11.155150708098969,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.3741129763807683}",20,8,-44.30009127838171,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.3737569778047626}",25,0,-29.297719811255305,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.3734140422766419}",25,12,-2.2269528415004154,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.37308346376424517}",25,1,12.90279651884933,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.3727645862132248}",25,0,-162.72451034926644,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 4}",0
56,False,"{'a': 0.5, 'e': 0.37245679920183666}",30,5,-31.22803171393057,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.37215953404131347}",25,0,4.372321707702312,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.37187226026940884}",20,4,-92.19332488711355,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.3715944824916311}",25,18,16.42612821691791,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.3713257375305991}",25,9,3.0249321086341823,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.37106559184901744}",20,0,-5.432160677533741,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.37081363921611243}",25,18,12.741067745503969,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.37056949859111243}",20,10,-1.4971878880185958,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.3703328122005799}",20,12,6.383957381417593,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.3701032437891933}",25,15,-22.313163861844362,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.36988047702599436}",25,17,-21.40009302134584,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.3696642140502158}",30,8,-120.94920416196508,"{0: 16, 1: 1, 2: 0, 3: 3, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.3694541741426334}",20,10,11.118378700402173,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.3692500925099803}",20,13,14.7152002744627,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.36905171917135704}",30,21,17.79593749456936,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.36885881793678915}",25,0,7.801596731850465,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.3686711654691592}",20,6,-129.17210143544884,"{0: 6, 1: 0, 2: 6, 3: 0, 4: 2}",1
73,False,"{'a': 0.5, 'e': 0.3684885504216793}",25,7,-6.26058679550674,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.3683107726439015}",35,3,-31.325950992663696,"{0: 28, 1: 1, 2: 2, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.3681376424499957}",30,10,27.18629423288941,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.36796897994367084}",30,0,-109.50363180456127,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.3678046143946899}",25,5,1.3013598931147143,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.36764438366243546}",20,5,7.713240691257357,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.36748813366243543}",20,8,12.690337084032025,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.3673357178721596}",20,6,17.669020793343233,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.36718699687275447}",20,0,-51.76252647538913,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.36704183792370526}",30,15,-34.51910671001654,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.36690011456769617}",30,1,13.999768917418391,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.3667617062631979}",30,11,-37.98991570174864,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.36662649804253805}",30,13,-56.35172402806901,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.3664943801934166}",25,0,6.467084796614735,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.36636524796201164}",20,11,13.769070489842097,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
