trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.25094105001824,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.94855748569228,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.98211298484452,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.52177068750453,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,16,-1.911785698496762,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.3943865063896,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.32755135563016,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.06361694780273,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.27058966197761,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.49300075878288,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.31245246180958,"{0: 12, 1: 0, 2: 9, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.80692153576427,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.66546302106678,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-234.85659635285245,"{0: 10, 1: 3, 2: 7, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.99401540109793,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.95759218189112,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.32248389609255,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.46818762378027,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-207.59382697887622,"{0: 20, 1: 4, 2: 7, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.72436160049795,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.48247604328282,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-29.078288756505575,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-127.7515129748377,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-209.03036065832396,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.17538461943857,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-231.05001216539517,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.24648107416391,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.45223951514237,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-152.68437432440862,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-84.95507404559996,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
